source,task_id,alpha,case_id,objective_family,method,status,runtime_seconds,time_limit,objective,best_bound,reported_mip_gap,solver_mip_gap,calculated_gap,gap_excluded_reason
previous,worker_03_task_019,0.02,case01,CVaR,FPP-Branch-Benders-RootCuts,Feasible,300.32953741,300,180.9,156.31739870,0.001,,0.1358905544,
previous,worker_03_task_043,0.02,case01,CVaR,FPP-Branch-Benders-Combinatorial,Feasible,307.35220791,300,180.4,149.33915096,0.001,,0.1721776554,
previous,worker_03_task_002,0.02,case01,CVaR,FPP-SAA-fpp_base,Feasible,300.01489863,300,185.1,145.48559061,0.001,,0.2140162582,
previous,worker_03_task_003,0.02,case01,CVaR,FPP-SAA-fpp_cut,Feasible,300.06797946,300,181.9,142.39808412,0.001,,0.2171628141,
previous,worker_03_task_006,0.02,case01,Expected,FPP-Branch-Benders,Optimal,47.19169841,300,85.2,85.11493490,0.001,,0.0009984166667,
previous,worker_03_task_010,0.02,case01,Expected,FPP-Branch-Benders-CoverageLLBI,Optimal,58.16625081,300,85.2,85.14000000,0.001,,0.0007042253521,
previous,worker_03_task_014,0.02,case01,Expected,FPP-Branch-Benders-CoverageLLBI-PathLLBI,Optimal,257.65435592,300,85.2,85.20000000,0.001,,0,
previous,worker_03_task_015,0.02,case01,Expected,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,Optimal,271.89999631,300,85.2,85.20000000,0.001,,0,
previous,worker_03_task_011,0.02,case01,Expected,FPP-Branch-Benders-CoverageLLBI-RootCuts,Optimal,56.24638750,300,85.2,85.20000000,0.001,,0,
previous,worker_03_task_008,0.02,case01,Expected,FPP-Branch-Benders-LLBI,Optimal,21.19303668,300,85.2,85.11597458,0.001,,0.0009862138498,
previous,worker_03_task_016,0.02,case01,Expected,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,Feasible,301.77122433,300,85.2,85.01770950,0.001,,0.002139559859,
previous,worker_03_task_017,0.02,case01,Expected,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,Feasible,301.23771314,300,85.2,85.01770950,0.001,,0.002139559859,
previous,worker_03_task_009,0.02,case01,Expected,FPP-Branch-Benders-LLBI-RootCuts,Optimal,14.70678194,300,85.2,85.11598188,0.001,,0.000986128169,
previous,worker_03_task_012,0.02,case01,Expected,FPP-Branch-Benders-PathLLBI,Optimal,38.10071253,300,85.2,85.20000000,0.001,,0,
